Date created,Reporting period start date,Reporting period end data,County,Population density per square mile,Fiscal Year
8/27/2025,4/1/2020,6/30/2020,Washington,338,FY2020
8/27/2025,4/1/2020,6/30/2020,Wicomico,276.7,FY2020
8/27/2025,4/1/2020,6/30/2020,Worcester,112,FY2020
8/27/2025,7/1/2020,6/30/2021,Maryland,636.4,FY2021
8/27/2025,7/1/2020,6/30/2021,Allegany,160.2,FY2021
8/27/2025,7/1/2020,6/30/2021,Anne Arundel,1430.2,FY2021
8/27/2025,7/1/2020,6/30/2021,Baltimore City,7204.9,FY2021
8/27/2025,7/1/2020,6/30/2021,Baltimore,1426.3,FY2021
8/27/2025,7/1/2020,6/30/2021,Calvert,435.9,FY2021
8/27/2025,7/1/2020,6/30/2021,Caroline,104.2,FY2021
8/27/2025,7/1/2020,6/30/2021,Carroll,386.3,FY2021
8/27/2025,7/1/2020,6/30/2021,Cecil,299.8,FY2021
8/27/2025,7/1/2020,6/30/2021,Charles,364.2,FY2021
8/27/2025,7/1/2020,6/30/2021,Dorchester,60.1,FY2021
8/27/2025,7/1/2020,6/30/2021,Frederick,413.2,FY2021
8/27/2025,7/1/2020,6/30/2021,Garrett,44.5,FY2021
8/27/2025,7/1/2020,6/30/2021,Harford,597.7,FY2021
8/27/2025,7/1/2020,6/30/2021,Howard,1327.3,FY2021
8/27/2025,7/1/2020,6/30/2021,Kent,69,FY2021
8/27/2025,7/1/2020,6/30/2021,Montgomery,2159.5,FY2021
8/27/2025,7/1/2020,6/30/2021,Prince George's,2000,FY2021
8/27/2025,7/1/2020,6/30/2021,Queen Anne's,134.5,FY2021
8/27/2025,7/1/2020,6/30/2021,St. Mary's,319.2,FY2021
8/27/2025,7/1/2020,6/30/2021,Somerset,76.8,FY2021
8/27/2025,7/1/2020,6/30/2021,Talbot,139.7,FY2021
8/27/2025,7/1/2020,6/30/2021,Washington,337.9,FY2021
8/27/2025,7/1/2020,6/30/2021,Wicomico,276.6,FY2021
8/27/2025,7/1/2020,6/30/2021,Worcester,112.2,FY2021
8/27/2025,7/1/2021,6/30/2022,Maryland,636.6,FY2022
8/27/2025,7/1/2021,6/30/2022,Allegany,159.5,FY2022
